dimdateid,datetype,fulldate,yearnum,yearbegindate,yearenddate,daynumofweek,daynumofmonth,daynumofquarter,daynumofyear,dayofweekname,dayofweekabbreviation,juliandaynumofyear,isweekday,isfederalusholiday,holidaydescription,islastdayofweek,islastdayofmonth,islastdayofquarter,islastdayofyear,weekofyearbegindate,weekofyearenddate,weekofmonthbegindate,weekofmonthenddate,weekofquarterbegindate,weekofquarterenddate,weeknumofmonth,weeknumofquarter,weeknumofyear,monthname,monthnameabbreviation,monthbegindate,monthenddate,monthnumofyear,monthformatyyyymm,quarternumofyear,quarterbegindate,quarterenddate,quarterformatyyyyqq,quarterformatqq,fiscalmonthofyear,fiscalquarter,fiscalyear,fiscalyearmonthyyyymm,fiscalyearquarteryyyyqq
20181014,Normal,10/14/2018,2018,1/1/2018,12/31/2018,1,14,14,287,Sunday,Sun,2018287,N,N,Not a Holiday,N,N,N,N,10/14/2018,10/20/2018,10/14/2018,10/20/2018,10/14/2018,10/20/2018,3,3,42,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181015,Normal,10/15/2018,2018,1/1/2018,12/31/2018,2,15,15,288,Monday,Mon,2018288,Y,N,Not a Holiday,N,N,N,N,10/14/2018,10/20/2018,10/14/2018,10/20/2018,10/14/2018,10/20/2018,3,3,42,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181016,Normal,10/16/2018,2018,1/1/2018,12/31/2018,3,16,16,289,Tuesday,Tue,2018289,Y,N,Not a Holiday,N,N,N,N,10/14/2018,10/20/2018,10/14/2018,10/20/2018,10/14/2018,10/20/2018,3,3,42,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181017,Normal,10/17/2018,2018,1/1/2018,12/31/2018,4,17,17,290,Wednesday,Wed,2018290,Y,N,Not a Holiday,N,N,N,N,10/14/2018,10/20/2018,10/14/2018,10/20/2018,10/14/2018,10/20/2018,3,3,42,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181018,Normal,10/18/2018,2018,1/1/2018,12/31/2018,5,18,18,291,Thursday,Thu,2018291,Y,N,Not a Holiday,N,N,N,N,10/14/2018,10/20/2018,10/14/2018,10/20/2018,10/14/2018,10/20/2018,3,3,42,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181019,Normal,10/19/2018,2018,1/1/2018,12/31/2018,6,19,19,292,Friday,Fri,2018292,Y,N,Not a Holiday,N,N,N,N,10/14/2018,10/20/2018,10/14/2018,10/20/2018,10/14/2018,10/20/2018,3,3,42,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181020,Normal,10/20/2018,2018,1/1/2018,12/31/2018,7,20,20,293,Saturday,Sat,2018293,N,N,Not a Holiday,Y,N,N,N,10/14/2018,10/20/2018,10/14/2018,10/20/2018,10/14/2018,10/20/2018,3,3,42,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181021,Normal,10/21/2018,2018,1/1/2018,12/31/2018,1,21,21,294,Sunday,Sun,2018294,N,N,Not a Holiday,N,N,N,N,10/21/2018,10/27/2018,10/21/2018,10/27/2018,10/21/2018,10/27/2018,4,4,43,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181022,Normal,10/22/2018,2018,1/1/2018,12/31/2018,2,22,22,295,Monday,Mon,2018295,Y,N,Not a Holiday,N,N,N,N,10/21/2018,10/27/2018,10/21/2018,10/27/2018,10/21/2018,10/27/2018,4,4,43,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181023,Normal,10/23/2018,2018,1/1/2018,12/31/2018,3,23,23,296,Tuesday,Tue,2018296,Y,N,Not a Holiday,N,N,N,N,10/21/2018,10/27/2018,10/21/2018,10/27/2018,10/21/2018,10/27/2018,4,4,43,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181024,Normal,10/24/2018,2018,1/1/2018,12/31/2018,4,24,24,297,Wednesday,Wed,2018297,Y,N,Not a Holiday,N,N,N,N,10/21/2018,10/27/2018,10/21/2018,10/27/2018,10/21/2018,10/27/2018,4,4,43,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181025,Normal,10/25/2018,2018,1/1/2018,12/31/2018,5,25,25,298,Thursday,Thu,2018298,Y,N,Not a Holiday,N,N,N,N,10/21/2018,10/27/2018,10/21/2018,10/27/2018,10/21/2018,10/27/2018,4,4,43,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181026,Normal,10/26/2018,2018,1/1/2018,12/31/2018,6,26,26,299,Friday,Fri,2018299,Y,N,Not a Holiday,N,N,N,N,10/21/2018,10/27/2018,10/21/2018,10/27/2018,10/21/2018,10/27/2018,4,4,43,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181027,Normal,10/27/2018,2018,1/1/2018,12/31/2018,7,27,27,300,Saturday,Sat,2018300,N,N,Not a Holiday,Y,N,N,N,10/21/2018,10/27/2018,10/21/2018,10/27/2018,10/21/2018,10/27/2018,4,4,43,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181028,Normal,10/28/2018,2018,1/1/2018,12/31/2018,1,28,28,301,Sunday,Sun,2018301,N,N,Not a Holiday,N,N,N,N,10/28/2018,11/3/2018,10/28/2018,10/31/2018,10/28/2018,11/3/2018,5,5,44,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181029,Normal,10/29/2018,2018,1/1/2018,12/31/2018,2,29,29,302,Monday,Mon,2018302,Y,N,Not a Holiday,N,N,N,N,10/28/2018,11/3/2018,10/28/2018,10/31/2018,10/28/2018,11/3/2018,5,5,44,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181030,Normal,10/30/2018,2018,1/1/2018,12/31/2018,3,30,30,303,Tuesday,Tue,2018303,Y,N,Not a Holiday,N,N,N,N,10/28/2018,11/3/2018,10/28/2018,10/31/2018,10/28/2018,11/3/2018,5,5,44,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181031,Normal,10/31/2018,2018,1/1/2018,12/31/2018,4,31,31,304,Wednesday,Wed,2018304,Y,N,Not a Holiday,N,Y,N,N,10/28/2018,11/3/2018,10/28/2018,10/31/2018,10/28/2018,11/3/2018,5,5,44,October,Oct,10/1/2018,10/31/2018,10,2018/10,4,10/1/2018,12/31/2018,2018Q4,Q4,1,1,2019,201901,2019Q1
20181101,Normal,11/1/2018,2018,1/1/2018,12/31/2018,5,1,32,305,Thursday,Thu,2018305,Y,N,Not a Holiday,N,N,N,N,10/28/2018,11/3/2018,11/1/2018,11/3/2018,10/28/2018,11/3/2018,1,5,44,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181102,Normal,11/2/2018,2018,1/1/2018,12/31/2018,6,2,33,306,Friday,Fri,2018306,Y,N,Not a Holiday,N,N,N,N,10/28/2018,11/3/2018,11/1/2018,11/3/2018,10/28/2018,11/3/2018,1,5,44,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181103,Normal,11/3/2018,2018,1/1/2018,12/31/2018,7,3,34,307,Saturday,Sat,2018307,N,N,Not a Holiday,Y,N,N,N,10/28/2018,11/3/2018,11/1/2018,11/3/2018,10/28/2018,11/3/2018,1,5,44,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181104,Normal,11/4/2018,2018,1/1/2018,12/31/2018,1,4,35,308,Sunday,Sun,2018308,N,N,Not a Holiday,N,N,N,N,11/4/2018,11/10/2018,11/4/2018,11/10/2018,11/4/2018,11/10/2018,2,6,45,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181105,Normal,11/5/2018,2018,1/1/2018,12/31/2018,2,5,36,309,Monday,Mon,2018309,Y,N,Not a Holiday,N,N,N,N,11/4/2018,11/10/2018,11/4/2018,11/10/2018,11/4/2018,11/10/2018,2,6,45,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181106,Normal,11/6/2018,2018,1/1/2018,12/31/2018,3,6,37,310,Tuesday,Tue,2018310,Y,N,Not a Holiday,N,N,N,N,11/4/2018,11/10/2018,11/4/2018,11/10/2018,11/4/2018,11/10/2018,2,6,45,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181107,Normal,11/7/2018,2018,1/1/2018,12/31/2018,4,7,38,311,Wednesday,Wed,2018311,Y,N,Not a Holiday,N,N,N,N,11/4/2018,11/10/2018,11/4/2018,11/10/2018,11/4/2018,11/10/2018,2,6,45,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181108,Normal,11/8/2018,2018,1/1/2018,12/31/2018,5,8,39,312,Thursday,Thu,2018312,Y,N,Not a Holiday,N,N,N,N,11/4/2018,11/10/2018,11/4/2018,11/10/2018,11/4/2018,11/10/2018,2,6,45,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181109,Normal,11/9/2018,2018,1/1/2018,12/31/2018,6,9,40,313,Friday,Fri,2018313,Y,N,Not a Holiday,N,N,N,N,11/4/2018,11/10/2018,11/4/2018,11/10/2018,11/4/2018,11/10/2018,2,6,45,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181110,Normal,11/10/2018,2018,1/1/2018,12/31/2018,7,10,41,314,Saturday,Sat,2018314,N,N,Not a Holiday,Y,N,N,N,11/4/2018,11/10/2018,11/4/2018,11/10/2018,11/4/2018,11/10/2018,2,6,45,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181111,Normal,11/11/2018,2018,1/1/2018,12/31/2018,1,11,42,315,Sunday,Sun,2018315,N,N,Not a Holiday,N,N,N,N,11/11/2018,11/17/2018,11/11/2018,11/17/2018,11/11/2018,11/17/2018,3,7,46,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181112,Normal,11/12/2018,2018,1/1/2018,12/31/2018,2,12,43,316,Monday,Mon,2018316,Y,N,Not a Holiday,N,N,N,N,11/11/2018,11/17/2018,11/11/2018,11/17/2018,11/11/2018,11/17/2018,3,7,46,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181113,Normal,11/13/2018,2018,1/1/2018,12/31/2018,3,13,44,317,Tuesday,Tue,2018317,Y,N,Not a Holiday,N,N,N,N,11/11/2018,11/17/2018,11/11/2018,11/17/2018,11/11/2018,11/17/2018,3,7,46,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181114,Normal,11/14/2018,2018,1/1/2018,12/31/2018,4,14,45,318,Wednesday,Wed,2018318,Y,N,Not a Holiday,N,N,N,N,11/11/2018,11/17/2018,11/11/2018,11/17/2018,11/11/2018,11/17/2018,3,7,46,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181115,Normal,11/15/2018,2018,1/1/2018,12/31/2018,5,15,46,319,Thursday,Thu,2018319,Y,N,Not a Holiday,N,N,N,N,11/11/2018,11/17/2018,11/11/2018,11/17/2018,11/11/2018,11/17/2018,3,7,46,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181116,Normal,11/16/2018,2018,1/1/2018,12/31/2018,6,16,47,320,Friday,Fri,2018320,Y,N,Not a Holiday,N,N,N,N,11/11/2018,11/17/2018,11/11/2018,11/17/2018,11/11/2018,11/17/2018,3,7,46,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181117,Normal,11/17/2018,2018,1/1/2018,12/31/2018,7,17,48,321,Saturday,Sat,2018321,N,N,Not a Holiday,Y,N,N,N,11/11/2018,11/17/2018,11/11/2018,11/17/2018,11/11/2018,11/17/2018,3,7,46,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181118,Normal,11/18/2018,2018,1/1/2018,12/31/2018,1,18,49,322,Sunday,Sun,2018322,N,N,Not a Holiday,N,N,N,N,11/18/2018,11/24/2018,11/18/2018,11/24/2018,11/18/2018,11/24/2018,4,8,47,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181119,Normal,11/19/2018,2018,1/1/2018,12/31/2018,2,19,50,323,Monday,Mon,2018323,Y,N,Not a Holiday,N,N,N,N,11/18/2018,11/24/2018,11/18/2018,11/24/2018,11/18/2018,11/24/2018,4,8,47,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181120,Normal,11/20/2018,2018,1/1/2018,12/31/2018,3,20,51,324,Tuesday,Tue,2018324,Y,N,Not a Holiday,N,N,N,N,11/18/2018,11/24/2018,11/18/2018,11/24/2018,11/18/2018,11/24/2018,4,8,47,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181121,Normal,11/21/2018,2018,1/1/2018,12/31/2018,4,21,52,325,Wednesday,Wed,2018325,Y,N,Not a Holiday,N,N,N,N,11/18/2018,11/24/2018,11/18/2018,11/24/2018,11/18/2018,11/24/2018,4,8,47,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181122,Normal,11/22/2018,2018,1/1/2018,12/31/2018,5,22,53,326,Thursday,Thu,2018326,Y,Y,Thanksgiving,N,N,N,N,11/18/2018,11/24/2018,11/18/2018,11/24/2018,11/18/2018,11/24/2018,4,8,47,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181123,Normal,11/23/2018,2018,1/1/2018,12/31/2018,6,23,54,327,Friday,Fri,2018327,Y,N,Not a Holiday,N,N,N,N,11/18/2018,11/24/2018,11/18/2018,11/24/2018,11/18/2018,11/24/2018,4,8,47,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181124,Normal,11/24/2018,2018,1/1/2018,12/31/2018,7,24,55,328,Saturday,Sat,2018328,N,N,Not a Holiday,Y,N,N,N,11/18/2018,11/24/2018,11/18/2018,11/24/2018,11/18/2018,11/24/2018,4,8,47,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181125,Normal,11/25/2018,2018,1/1/2018,12/31/2018,1,25,56,329,Sunday,Sun,2018329,N,N,Not a Holiday,N,N,N,N,11/25/2018,12/1/2018,11/25/2018,11/30/2018,11/25/2018,12/1/2018,5,9,48,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181126,Normal,11/26/2018,2018,1/1/2018,12/31/2018,2,26,57,330,Monday,Mon,2018330,Y,N,Not a Holiday,N,N,N,N,11/25/2018,12/1/2018,11/25/2018,11/30/2018,11/25/2018,12/1/2018,5,9,48,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181127,Normal,11/27/2018,2018,1/1/2018,12/31/2018,3,27,58,331,Tuesday,Tue,2018331,Y,N,Not a Holiday,N,N,N,N,11/25/2018,12/1/2018,11/25/2018,11/30/2018,11/25/2018,12/1/2018,5,9,48,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181128,Normal,11/28/2018,2018,1/1/2018,12/31/2018,4,28,59,332,Wednesday,Wed,2018332,Y,N,Not a Holiday,N,N,N,N,11/25/2018,12/1/2018,11/25/2018,11/30/2018,11/25/2018,12/1/2018,5,9,48,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181129,Normal,11/29/2018,2018,1/1/2018,12/31/2018,5,29,60,333,Thursday,Thu,2018333,Y,N,Not a Holiday,N,N,N,N,11/25/2018,12/1/2018,11/25/2018,11/30/2018,11/25/2018,12/1/2018,5,9,48,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181130,Normal,11/30/2018,2018,1/1/2018,12/31/2018,6,30,61,334,Friday,Fri,2018334,Y,N,Not a Holiday,N,Y,N,N,11/25/2018,12/1/2018,11/25/2018,11/30/2018,11/25/2018,12/1/2018,5,9,48,November,Nov,11/1/2018,11/30/2018,11,2018/11,4,10/1/2018,12/31/2018,2018Q4,Q4,2,1,2019,201902,2019Q1
20181201,Normal,12/1/2018,2018,1/1/2018,12/31/2018,7,1,62,335,Saturday,Sat,2018335,N,N,Not a Holiday,Y,N,N,N,11/25/2018,12/1/2018,12/1/2018,12/1/2018,11/25/2018,12/1/2018,1,9,48,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181202,Normal,12/2/2018,2018,1/1/2018,12/31/2018,1,2,63,336,Sunday,Sun,2018336,N,N,Not a Holiday,N,N,N,N,12/2/2018,12/8/2018,12/2/2018,12/8/2018,12/2/2018,12/8/2018,2,10,49,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181203,Normal,12/3/2018,2018,1/1/2018,12/31/2018,2,3,64,337,Monday,Mon,2018337,Y,N,Not a Holiday,N,N,N,N,12/2/2018,12/8/2018,12/2/2018,12/8/2018,12/2/2018,12/8/2018,2,10,49,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181204,Normal,12/4/2018,2018,1/1/2018,12/31/2018,3,4,65,338,Tuesday,Tue,2018338,Y,N,Not a Holiday,N,N,N,N,12/2/2018,12/8/2018,12/2/2018,12/8/2018,12/2/2018,12/8/2018,2,10,49,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181205,Normal,12/5/2018,2018,1/1/2018,12/31/2018,4,5,66,339,Wednesday,Wed,2018339,Y,N,Not a Holiday,N,N,N,N,12/2/2018,12/8/2018,12/2/2018,12/8/2018,12/2/2018,12/8/2018,2,10,49,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181206,Normal,12/6/2018,2018,1/1/2018,12/31/2018,5,6,67,340,Thursday,Thu,2018340,Y,N,Not a Holiday,N,N,N,N,12/2/2018,12/8/2018,12/2/2018,12/8/2018,12/2/2018,12/8/2018,2,10,49,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181207,Normal,12/7/2018,2018,1/1/2018,12/31/2018,6,7,68,341,Friday,Fri,2018341,Y,N,Not a Holiday,N,N,N,N,12/2/2018,12/8/2018,12/2/2018,12/8/2018,12/2/2018,12/8/2018,2,10,49,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181208,Normal,12/8/2018,2018,1/1/2018,12/31/2018,7,8,69,342,Saturday,Sat,2018342,N,N,Not a Holiday,Y,N,N,N,12/2/2018,12/8/2018,12/2/2018,12/8/2018,12/2/2018,12/8/2018,2,10,49,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181209,Normal,12/9/2018,2018,1/1/2018,12/31/2018,1,9,70,343,Sunday,Sun,2018343,N,N,Not a Holiday,N,N,N,N,12/9/2018,12/15/2018,12/9/2018,12/15/2018,12/9/2018,12/15/2018,3,11,50,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181210,Normal,12/10/2018,2018,1/1/2018,12/31/2018,2,10,71,344,Monday,Mon,2018344,Y,N,Not a Holiday,N,N,N,N,12/9/2018,12/15/2018,12/9/2018,12/15/2018,12/9/2018,12/15/2018,3,11,50,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181211,Normal,12/11/2018,2018,1/1/2018,12/31/2018,3,11,72,345,Tuesday,Tue,2018345,Y,N,Not a Holiday,N,N,N,N,12/9/2018,12/15/2018,12/9/2018,12/15/2018,12/9/2018,12/15/2018,3,11,50,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181212,Normal,12/12/2018,2018,1/1/2018,12/31/2018,4,12,73,346,Wednesday,Wed,2018346,Y,N,Not a Holiday,N,N,N,N,12/9/2018,12/15/2018,12/9/2018,12/15/2018,12/9/2018,12/15/2018,3,11,50,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181213,Normal,12/13/2018,2018,1/1/2018,12/31/2018,5,13,74,347,Thursday,Thu,2018347,Y,N,Not a Holiday,N,N,N,N,12/9/2018,12/15/2018,12/9/2018,12/15/2018,12/9/2018,12/15/2018,3,11,50,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181214,Normal,12/14/2018,2018,1/1/2018,12/31/2018,6,14,75,348,Friday,Fri,2018348,Y,N,Not a Holiday,N,N,N,N,12/9/2018,12/15/2018,12/9/2018,12/15/2018,12/9/2018,12/15/2018,3,11,50,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181215,Normal,12/15/2018,2018,1/1/2018,12/31/2018,7,15,76,349,Saturday,Sat,2018349,N,N,Not a Holiday,Y,N,N,N,12/9/2018,12/15/2018,12/9/2018,12/15/2018,12/9/2018,12/15/2018,3,11,50,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181216,Normal,12/16/2018,2018,1/1/2018,12/31/2018,1,16,77,350,Sunday,Sun,2018350,N,N,Not a Holiday,N,N,N,N,12/16/2018,12/22/2018,12/16/2018,12/22/2018,12/16/2018,12/22/2018,4,12,51,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181217,Normal,12/17/2018,2018,1/1/2018,12/31/2018,2,17,78,351,Monday,Mon,2018351,Y,N,Not a Holiday,N,N,N,N,12/16/2018,12/22/2018,12/16/2018,12/22/2018,12/16/2018,12/22/2018,4,12,51,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181218,Normal,12/18/2018,2018,1/1/2018,12/31/2018,3,18,79,352,Tuesday,Tue,2018352,Y,N,Not a Holiday,N,N,N,N,12/16/2018,12/22/2018,12/16/2018,12/22/2018,12/16/2018,12/22/2018,4,12,51,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181219,Normal,12/19/2018,2018,1/1/2018,12/31/2018,4,19,80,353,Wednesday,Wed,2018353,Y,N,Not a Holiday,N,N,N,N,12/16/2018,12/22/2018,12/16/2018,12/22/2018,12/16/2018,12/22/2018,4,12,51,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181220,Normal,12/20/2018,2018,1/1/2018,12/31/2018,5,20,81,354,Thursday,Thu,2018354,Y,N,Not a Holiday,N,N,N,N,12/16/2018,12/22/2018,12/16/2018,12/22/2018,12/16/2018,12/22/2018,4,12,51,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181221,Normal,12/21/2018,2018,1/1/2018,12/31/2018,6,21,82,355,Friday,Fri,2018355,Y,N,Not a Holiday,N,N,N,N,12/16/2018,12/22/2018,12/16/2018,12/22/2018,12/16/2018,12/22/2018,4,12,51,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181222,Normal,12/22/2018,2018,1/1/2018,12/31/2018,7,22,83,356,Saturday,Sat,2018356,N,N,Not a Holiday,Y,N,N,N,12/16/2018,12/22/2018,12/16/2018,12/22/2018,12/16/2018,12/22/2018,4,12,51,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
20181223,Normal,12/23/2018,2018,1/1/2018,12/31/2018,1,23,84,357,Sunday,Sun,2018357,N,N,Not a Holiday,N,N,N,N,12/23/2018,12/29/2018,12/23/2018,12/29/2018,12/23/2018,12/29/2018,5,13,52,December,Dec,12/1/2018,12/31/2018,12,2018/12,4,10/1/2018,12/31/2018,2018Q4,Q4,3,1,2019,201903,2019Q1
